cellLine,drug,doseID,concentration,viability,study
786-0,Nilotinib,doses5,0.25,96.9,CCLE
786-0,Nilotinib,doses6,0.8,92.5,CCLE
786-0,Nilotinib,doses7,2.53,89,CCLE
786-0,Nilotinib,doses8,8,71,CCLE
8305C,Nilotinib,doses1,0.0025,116.6,CCLE
8305C,Nilotinib,doses2,0.008,83,CCLE
8305C,Nilotinib,doses3,0.025,103.73,CCLE
8305C,Nilotinib,doses4,0.08,95.4,CCLE
8305C,Nilotinib,doses5,0.25,126.1,CCLE
8305C,Nilotinib,doses6,0.8,92.4,CCLE
8305C,Nilotinib,doses7,2.53,99.83,CCLE
8305C,Nilotinib,doses8,8,45,CCLE
8505C,Nilotinib,doses1,0.0025,99.81,CCLE
8505C,Nilotinib,doses2,0.008,97.2,CCLE
8505C,Nilotinib,doses3,0.025,104.41,CCLE
8505C,Nilotinib,doses4,0.08,99.61,CCLE
8505C,Nilotinib,doses5,0.25,99.76,CCLE
8505C,Nilotinib,doses6,0.8,93.9,CCLE
8505C,Nilotinib,doses7,2.53,92.6,CCLE
8505C,Nilotinib,doses8,8,37,CCLE
A172,Nilotinib,doses1,0.0025,99.25,CCLE
A172,Nilotinib,doses2,0.008,103.15,CCLE
A172,Nilotinib,doses3,0.025,109.45,CCLE
A172,Nilotinib,doses4,0.08,107.81,CCLE
A172,Nilotinib,doses5,0.25,101.15,CCLE
A172,Nilotinib,doses6,0.8,104.57,CCLE
A172,Nilotinib,doses7,2.53,96.3,CCLE
A172,Nilotinib,doses8,8,97.9,CCLE
A204,Nilotinib,doses1,0.0025,108.74,CCLE
A204,Nilotinib,doses2,0.008,108.27,CCLE
A204,Nilotinib,doses3,0.025,97.6,CCLE
A204,Nilotinib,doses4,0.08,93,CCLE
A204,Nilotinib,doses5,0.25,97.4,CCLE
A204,Nilotinib,doses6,0.8,39,CCLE
A204,Nilotinib,doses7,2.53,32,CCLE
A204,Nilotinib,doses8,8,32,CCLE
A2058,Nilotinib,doses1,0.0025,106.64,CCLE
A2058,Nilotinib,doses2,0.008,98.1,CCLE
A2058,Nilotinib,doses3,0.025,102.59,CCLE
A2058,Nilotinib,doses4,0.08,100.34,CCLE
A2058,Nilotinib,doses5,0.25,102.58,CCLE
A2058,Nilotinib,doses6,0.8,101.18,CCLE
A2058,Nilotinib,doses7,2.53,104.64,CCLE
A2058,Nilotinib,doses8,8,88,CCLE
A253,Nilotinib,doses1,0.0025,107.9,CCLE
A253,Nilotinib,doses2,0.008,93.9,CCLE
A253,Nilotinib,doses3,0.025,107.33,CCLE
A253,Nilotinib,doses4,0.08,103.6,CCLE
A253,Nilotinib,doses5,0.25,90,CCLE
A253,Nilotinib,doses6,0.8,99.56,CCLE
A253,Nilotinib,doses7,2.53,98.2,CCLE
A253,Nilotinib,doses8,8,86,CCLE
A2780,Nilotinib,doses1,0.0025,103.32,CCLE
A2780,Nilotinib,doses2,0.008,98.4,CCLE
A2780,Nilotinib,doses3,0.025,107.05,CCLE
A2780,Nilotinib,doses4,0.08,103.04,CCLE
A2780,Nilotinib,doses5,0.25,108.7,CCLE
A2780,Nilotinib,doses6,0.8,97.6,CCLE
A2780,Nilotinib,doses7,2.53,88,CCLE
A2780,Nilotinib,doses8,8,60,CCLE
A375,Nilotinib,doses1,0.0025,101.2,CCLE
A375,Nilotinib,doses2,0.008,97.6,CCLE
A375,Nilotinib,doses3,0.025,99.935,CCLE
A375,Nilotinib,doses4,0.08,94.2,CCLE
A375,Nilotinib,doses5,0.25,95.3,CCLE
A375,Nilotinib,doses6,0.8,97.1,CCLE
A375,Nilotinib,doses7,2.53,83,CCLE
A375,Nilotinib,doses8,8,51,CCLE
A549,Nilotinib,doses1,0.0025,106.72,CCLE
A549,Nilotinib,doses2,0.008,101.11,CCLE
A549,Nilotinib,doses3,0.025,98.8,CCLE
A549,Nilotinib,doses4,0.08,101.07,CCLE
A549,Nilotinib,doses5,0.25,101.47,CCLE
A549,Nilotinib,doses6,0.8,94.3,CCLE
A549,Nilotinib,doses7,2.53,88,CCLE
A549,Nilotinib,doses8,8,25,CCLE
AN3-CA,Nilotinib,doses1,0.0025,99.29,CCLE
AN3-CA,Nilotinib,doses2,0.008,114.1,CCLE
AN3-CA,Nilotinib,doses3,0.025,100.22,CCLE
AN3-CA,Nilotinib,doses4,0.08,116.1,CCLE
AN3-CA,Nilotinib,doses5,0.25,94.8,CCLE
AN3-CA,Nilotinib,doses6,0.8,111.7,CCLE
AN3-CA,Nilotinib,doses7,2.53,88,CCLE
AN3-CA,Nilotinib,doses8,8,80,CCLE
AsPC-1,Nilotinib,doses1,0.0025,101.77,CCLE
AsPC-1,Nilotinib,doses2,0.008,106.33,CCLE
AsPC-1,Nilotinib,doses3,0.025,97.9,CCLE
AsPC-1,Nilotinib,doses4,0.08,88,CCLE
AsPC-1,Nilotinib,doses5,0.25,93.1,CCLE
AsPC-1,Nilotinib,doses6,0.8,98,CCLE
AsPC-1,Nilotinib,doses7,2.53,82,CCLE
AsPC-1,Nilotinib,doses8,8,66,CCLE
AU565,Nilotinib,doses1,0.0025,87,CCLE
AU565,Nilotinib,doses2,0.008,91.1,CCLE
AU565,Nilotinib,doses3,0.025,90.8,CCLE
AU565,Nilotinib,doses4,0.08,99.65,CCLE
AU565,Nilotinib,doses5,0.25,84,CCLE
AU565,Nilotinib,doses6,0.8,91.6,CCLE
AU565,Nilotinib,doses7,2.53,119.1,CCLE
AU565,Nilotinib,doses8,8,48,CCLE
BCPAP,Nilotinib,doses1,0.0025,107.5,CCLE
BCPAP,Nilotinib,doses2,0.008,106.13,CCLE
BCPAP,Nilotinib,doses3,0.025,101.75,CCLE
BCPAP,Nilotinib,doses4,0.08,105.19,CCLE
BCPAP,Nilotinib,doses5,0.25,98.3,CCLE
BCPAP,Nilotinib,doses6,0.8,94.9,CCLE
BCPAP,Nilotinib,doses7,2.53,96.3,CCLE
BCPAP,Nilotinib,doses8,8,44,CCLE
BFTC-909,Nilotinib,doses1,0.0025,93.8,CCLE
BFTC-909,Nilotinib,doses2,0.008,105.14,CCLE
BFTC-909,Nilotinib,doses3,0.025,97.9,CCLE
BFTC-909,Nilotinib,doses4,0.08,109.49,CCLE
BFTC-909,Nilotinib,doses5,0.25,102.37,CCLE
BFTC-909,Nilotinib,doses6,0.8,102,CCLE
BFTC-909,Nilotinib,doses7,2.53,101.28,CCLE
BFTC-909,Nilotinib,doses8,8,99.01,CCLE
BL-41,Nilotinib,doses1,0.0025,101.56,CCLE
BL-41,Nilotinib,doses2,0.008,104.92,CCLE
BL-41,Nilotinib,doses3,0.025,105.61,CCLE
BL-41,Nilotinib,doses4,0.08,102.05,CCLE
BL-41,Nilotinib,doses5,0.25,100.31,CCLE
BL-41,Nilotinib,doses6,0.8,94,CCLE
BL-41,Nilotinib,doses7,2.53,95.8,CCLE
BL-41,Nilotinib,doses8,8,92.5,CCLE
BT-20,Nilotinib,doses1,0.0025,91.1,CCLE
BT-20,Nilotinib,doses2,0.008,78,CCLE
BT-20,Nilotinib,doses3,0.025,92.2,CCLE
BT-20,Nilotinib,doses4,0.08,101.63,CCLE
BT-20,Nilotinib,doses5,0.25,94.3,CCLE
BT-20,Nilotinib,doses6,0.8,100.37,CCLE
BT-20,Nilotinib,doses7,2.53,113.1,CCLE
BT-20,Nilotinib,doses8,8,87,CCLE
BT-474,Nilotinib,doses1,0.0025,100.75,CCLE
BT-474,Nilotinib,doses2,0.008,113.1,CCLE
BT-474,Nilotinib,doses3,0.025,97.7,CCLE
BT-474,Nilotinib,doses4,0.08,114.5,CCLE
BT-474,Nilotinib,doses5,0.25,95.3,CCLE
BT-474,Nilotinib,doses6,0.8,102.28,CCLE
BT-474,Nilotinib,doses7,2.53,92.1,CCLE
BT-474,Nilotinib,doses8,8,37,CCLE
BT-549,Nilotinib,doses1,0.0025,65,CCLE
BT-549,Nilotinib,doses2,0.008,107.9,CCLE
BT-549,Nilotinib,doses3,0.025,116.3,CCLE
BT-549,Nilotinib,doses4,0.08,107.44,CCLE
BT-549,Nilotinib,doses5,0.25,110.2,CCLE
BT-549,Nilotinib,doses6,0.8,101.62,CCLE
BT-549,Nilotinib,doses7,2.53,104.03,CCLE
BT-549,Nilotinib,doses8,8,58,CCLE
C2BBe1,Nilotinib,doses1,0.0025,112,CCLE
C2BBe1,Nilotinib,doses2,0.008,104.83,CCLE
C2BBe1,Nilotinib,doses3,0.025,137.3,CCLE
C2BBe1,Nilotinib,doses4,0.08,100.51,CCLE
C2BBe1,Nilotinib,doses5,0.25,108.67,CCLE
C2BBe1,Nilotinib,doses6,0.8,84,CCLE
C2BBe1,Nilotinib,doses7,2.53,99.22,CCLE
C2BBe1,Nilotinib,doses8,8,39,CCLE
C32,Nilotinib,doses1,0.0025,95.5,CCLE
C32,Nilotinib,doses2,0.008,102.95,CCLE
C32,Nilotinib,doses3,0.025,94.7,CCLE
C32,Nilotinib,doses4,0.08,95.4,CCLE
C32,Nilotinib,doses5,0.25,95,CCLE
C32,Nilotinib,doses6,0.8,109.25,CCLE
C32,Nilotinib,doses7,2.53,101.25,CCLE
C32,Nilotinib,doses8,8,75,CCLE
CAL-85-1,Nilotinib,doses1,0.0025,94.3,CCLE
CAL-85-1,Nilotinib,doses2,0.008,109.55,CCLE
CAL-85-1,Nilotinib,doses3,0.025,107.19,CCLE
CAL-85-1,Nilotinib,doses4,0.08,104.79,CCLE
CAL-85-1,Nilotinib,doses5,0.25,103.46,CCLE
CAL-85-1,Nilotinib,doses6,0.8,105.2,CCLE
CAL-85-1,Nilotinib,doses7,2.53,102.87,CCLE
CAL-85-1,Nilotinib,doses8,8,88,CCLE
Calu-3,Nilotinib,doses1,0.0025,109.22,CCLE
Calu-3,Nilotinib,doses2,0.008,112.2,CCLE
Calu-3,Nilotinib,doses3,0.025,101.13,CCLE
Calu-3,Nilotinib,doses4,0.08,104.15,CCLE
Calu-3,Nilotinib,doses5,0.25,105.94,CCLE
Calu-3,Nilotinib,doses6,0.8,104.07,CCLE
Calu-3,Nilotinib,doses7,2.53,95.4,CCLE
Calu-3,Nilotinib,doses8,8,54,CCLE
CAMA-1,Nilotinib,doses1,0.0025,116.4,CCLE
CAMA-1,Nilotinib,doses2,0.008,98.6,CCLE
CAMA-1,Nilotinib,doses3,0.025,96.6,CCLE
CAMA-1,Nilotinib,doses4,0.08,108.61,CCLE
CAMA-1,Nilotinib,doses5,0.25,96,CCLE
CAMA-1,Nilotinib,doses6,0.8,107.87,CCLE
CAMA-1,Nilotinib,doses7,2.53,94.9,CCLE
CAMA-1,Nilotinib,doses8,8,48,CCLE
Capan-2,Nilotinib,doses1,0.0025,98.8,CCLE
Capan-2,Nilotinib,doses2,0.008,110.8,CCLE
Capan-2,Nilotinib,doses3,0.025,86,CCLE
Capan-2,Nilotinib,doses4,0.08,97.9,CCLE
Capan-2,Nilotinib,doses5,0.25,99.08,CCLE
Capan-2,Nilotinib,doses6,0.8,112,CCLE
Capan-2,Nilotinib,doses7,2.53,96.8,CCLE
Capan-2,Nilotinib,doses8,8,21,CCLE
CAS-1,Nilotinib,doses1,0.0025,96.7,CCLE
CAS-1,Nilotinib,doses2,0.008,113.7,CCLE
CAS-1,Nilotinib,doses3,0.025,97.5,CCLE
CAS-1,Nilotinib,doses4,0.08,97.8,CCLE
CAS-1,Nilotinib,doses5,0.25,106.17,CCLE
CAS-1,Nilotinib,doses6,0.8,88,CCLE
CAS-1,Nilotinib,doses7,2.53,100.34,CCLE
CAS-1,Nilotinib,doses8,8,75,CCLE
CHL-1,Nilotinib,doses1,0.0025,98.8,CCLE
CHL-1,Nilotinib,doses2,0.008,108.27,CCLE
CHL-1,Nilotinib,doses3,0.025,97.9,CCLE
CHL-1,Nilotinib,doses4,0.08,110.5,CCLE
CHL-1,Nilotinib,doses5,0.25,98.3,CCLE
CHL-1,Nilotinib,doses6,0.8,102.06,CCLE
CHL-1,Nilotinib,doses7,2.53,86,CCLE
CHL-1,Nilotinib,doses8,8,69,CCLE
COLO-205,Nilotinib,doses1,0.0025,107.38,CCLE
COLO-205,Nilotinib,doses2,0.008,104.42,CCLE
COLO-205,Nilotinib,doses3,0.025,107.22,CCLE
COLO-205,Nilotinib,doses4,0.08,104.07,CCLE
COLO-205,Nilotinib,doses5,0.25,104.6,CCLE
COLO-205,Nilotinib,doses6,0.8,99,CCLE
COLO-205,Nilotinib,doses7,2.53,82,CCLE
COLO-205,Nilotinib,doses8,8,56,CCLE
COLO-320-HSR,Nilotinib,doses1,0.0025,93.2,CCLE
COLO-320-HSR,Nilotinib,doses2,0.008,104.24,CCLE
COLO-320-HSR,Nilotinib,doses3,0.025,97.9,CCLE
COLO-320-HSR,Nilotinib,doses4,0.08,97,CCLE
COLO-320-HSR,Nilotinib,doses5,0.25,107.09,CCLE
COLO-320-HSR,Nilotinib,doses6,0.8,93.5,CCLE
COLO-320-HSR,Nilotinib,doses7,2.53,70,CCLE
COLO-320-HSR,Nilotinib,doses8,8,42,CCLE
COLO-678,Nilotinib,doses1,0.0025,102.23,CCLE
COLO-678,Nilotinib,doses2,0.008,105.5,CCLE
COLO-678,Nilotinib,doses3,0.025,119.2,CCLE
COLO-678,Nilotinib,doses4,0.08,107.08,CCLE
COLO-678,Nilotinib,doses5,0.25,101.6,CCLE
COLO-678,Nilotinib,doses6,0.8,96.2,CCLE
COLO-678,Nilotinib,doses7,2.53,108.57,CCLE
COLO-678,Nilotinib,doses8,8,77,CCLE
COLO-679,Nilotinib,doses1,0.0025,110.6,CCLE
COLO-679,Nilotinib,doses2,0.008,95,CCLE
COLO-679,Nilotinib,doses3,0.025,110.8,CCLE
COLO-679,Nilotinib,doses4,0.08,93.9,CCLE
COLO-679,Nilotinib,doses5,0.25,105.12,CCLE
COLO-679,Nilotinib,doses6,0.8,93.2,CCLE
COLO-679,Nilotinib,doses7,2.53,86,CCLE
COLO-679,Nilotinib,doses8,8,46,CCLE
COR-L23,Nilotinib,doses1,0.0025,102.89,CCLE
COR-L23,Nilotinib,doses2,0.008,98.4,CCLE
COR-L23,Nilotinib,doses3,0.025,102.23,CCLE
COR-L23,Nilotinib,doses4,0.08,98.9,CCLE
COR-L23,Nilotinib,doses5,0.25,105.34,CCLE
COR-L23,Nilotinib,doses6,0.8,101.22,CCLE
COR-L23,Nilotinib,doses7,2.53,92.8,CCLE
COR-L23,Nilotinib,doses8,8,81,CCLE
Daoy,Nilotinib,doses1,0.0025,92.5,CCLE
Daoy,Nilotinib,doses2,0.008,105.75,CCLE
Daoy,Nilotinib,doses3,0.025,91.3,CCLE
Daoy,Nilotinib,doses4,0.08,101.39,CCLE
Daoy,Nilotinib,doses5,0.25,92,CCLE
Daoy,Nilotinib,doses6,0.8,109.28,CCLE
Daoy,Nilotinib,doses7,2.53,104.27,CCLE
Daoy,Nilotinib,doses8,8,70,CCLE
DBTRG-05MG,Nilotinib,doses1,0.0025,102.24,CCLE
DBTRG-05MG,Nilotinib,doses2,0.008,113.5,CCLE
DBTRG-05MG,Nilotinib,doses3,0.025,93.8,CCLE
DBTRG-05MG,Nilotinib,doses4,0.08,102.29,CCLE
DBTRG-05MG,Nilotinib,doses5,0.25,98.1,CCLE
DBTRG-05MG,Nilotinib,doses6,0.8,110.3,CCLE
DBTRG-05MG,Nilotinib,doses7,2.53,87,CCLE
DBTRG-05MG,Nilotinib,doses8,8,80,CCLE
DEL,Nilotinib,doses1,0.0025,109.06,CCLE
DEL,Nilotinib,doses2,0.008,106.04,CCLE
DEL,Nilotinib,doses3,0.025,99.27,CCLE
DEL,Nilotinib,doses4,0.08,85,CCLE
DEL,Nilotinib,doses5,0.25,91.4,CCLE
DEL,Nilotinib,doses6,0.8,90.5,CCLE
DEL,Nilotinib,doses7,2.53,81,CCLE
DEL,Nilotinib,doses8,8,38,CCLE
Detroit562,Nilotinib,doses1,0.0025,81,CCLE
Detroit562,Nilotinib,doses2,0.008,110.3,CCLE
Detroit562,Nilotinib,doses3,0.025,106.38,CCLE
Detroit562,Nilotinib,doses4,0.08,103.51,CCLE
Detroit562,Nilotinib,doses5,0.25,110.9,CCLE
Detroit562,Nilotinib,doses6,0.8,94.8,CCLE
Detroit562,Nilotinib,doses7,2.53,95.9,CCLE
Detroit562,Nilotinib,doses8,8,60,CCLE
DK-MG,Nilotinib,doses1,0.0025,104.27,CCLE
DK-MG,Nilotinib,doses2,0.008,99.61,CCLE
DK-MG,Nilotinib,doses3,0.025,99.931,CCLE
DK-MG,Nilotinib,doses4,0.08,106.26,CCLE
DK-MG,Nilotinib,doses5,0.25,107.73,CCLE
DK-MG,Nilotinib,doses6,0.8,101.77,CCLE
DK-MG,Nilotinib,doses7,2.53,98.1,CCLE
DK-MG,Nilotinib,doses8,8,98.7,CCLE
DMS-114,Nilotinib,doses1,0.008,127.9,CCLE
DMS-114,Nilotinib,doses2,0.025,94.4,CCLE
DMS-114,Nilotinib,doses3,0.08,107.75,CCLE
DMS-114,Nilotinib,doses4,0.25,87,CCLE
DMS-114,Nilotinib,doses5,0.8,104.75,CCLE
DMS-114,Nilotinib,doses6,2.53,89,CCLE
DMS-114,Nilotinib,doses7,8,30,CCLE
DOHH-2,Nilotinib,doses1,0.0025,105.42,CCLE
DOHH-2,Nilotinib,doses2,0.008,166.7,CCLE
DOHH-2,Nilotinib,doses3,0.025,126.3,CCLE
DOHH-2,Nilotinib,doses4,0.08,80,CCLE
DOHH-2,Nilotinib,doses5,0.25,90.9,CCLE
DOHH-2,Nilotinib,doses6,0.8,72,CCLE
DOHH-2,Nilotinib,doses7,2.53,53,CCLE
DOHH-2,Nilotinib,doses8,8,65,CCLE
DU-145,Nilotinib,doses1,0.0025,117.6,CCLE
DU-145,Nilotinib,doses2,0.008,104.24,CCLE
DU-145,Nilotinib,doses3,0.025,103.93,CCLE
DU-145,Nilotinib,doses4,0.08,112.7,CCLE
DU-145,Nilotinib,doses5,0.25,116.5,CCLE
DU-145,Nilotinib,doses6,0.8,105.16,CCLE
DU-145,Nilotinib,doses7,2.53,107.17,CCLE
DU-145,Nilotinib,doses8,8,87,CCLE
EB2,Nilotinib,doses1,0.0025,91.9,CCLE
EB2,Nilotinib,doses2,0.008,99,CCLE
EB2,Nilotinib,doses3,0.025,105.38,CCLE
EB2,Nilotinib,doses4,0.08,112,CCLE
EB2,Nilotinib,doses5,0.25,104.9,CCLE
EB2,Nilotinib,doses6,0.8,103.63,CCLE
EB2,Nilotinib,doses7,2.53,88,CCLE
EB2,Nilotinib,doses8,8,111.6,CCLE
EFE-184,Nilotinib,doses1,0.0025,110.6,CCLE
EFE-184,Nilotinib,doses2,0.008,99.76,CCLE
EFE-184,Nilotinib,doses3,0.025,110,CCLE
EFE-184,Nilotinib,doses4,0.08,97.6,CCLE
EFE-184,Nilotinib,doses5,0.25,105.94,CCLE
EFE-184,Nilotinib,doses6,0.8,102.91,CCLE
EFE-184,Nilotinib,doses7,2.53,102.97,CCLE
EFE-184,Nilotinib,doses8,8,74,CCLE
EFM-19,Nilotinib,doses1,0.0025,103.84,CCLE
EFM-19,Nilotinib,doses2,0.008,106.27,CCLE
EFM-19,Nilotinib,doses3,0.025,96.3,CCLE
EFM-19,Nilotinib,doses4,0.08,115.7,CCLE
EFM-19,Nilotinib,doses5,0.25,98,CCLE
EFM-19,Nilotinib,doses6,0.8,109.03,CCLE
EFM-19,Nilotinib,doses7,2.53,83,CCLE
EFM-19,Nilotinib,doses8,8,86,CCLE
EFO-21,Nilotinib,doses1,0.0025,95.1,CCLE
EFO-21,Nilotinib,doses2,0.008,99.4,CCLE
EFO-21,Nilotinib,doses3,0.025,96.2,CCLE
EFO-21,Nilotinib,doses4,0.08,105.87,CCLE
EFO-21,Nilotinib,doses5,0.25,103.07,CCLE
EFO-21,Nilotinib,doses6,0.8,107.56,CCLE
EFO-21,Nilotinib,doses7,2.53,107.13,CCLE
EFO-21,Nilotinib,doses8,8,86,CCLE
EFO-27,Nilotinib,doses1,0.0025,96.5,CCLE
EFO-27,Nilotinib,doses2,0.008,105.58,CCLE
EFO-27,Nilotinib,doses3,0.025,90,CCLE
EFO-27,Nilotinib,doses4,0.08,107.79,CCLE
EFO-27,Nilotinib,doses5,0.25,97.2,CCLE
EFO-27,Nilotinib,doses6,0.8,101.55,CCLE
EFO-27,Nilotinib,doses7,2.53,93.6,CCLE
EFO-27,Nilotinib,doses8,8,82,CCLE
EM-2,Nilotinib,doses1,0.0025,90.4,CCLE
EM-2,Nilotinib,doses2,0.008,48,CCLE
EM-2,Nilotinib,doses3,0.025,19,CCLE
EM-2,Nilotinib,doses4,0.08,11,CCLE
EM-2,Nilotinib,doses5,0.25,9,CCLE
EM-2,Nilotinib,doses6,0.8,7,CCLE
EM-2,Nilotinib,doses7,2.53,6,CCLE
EM-2,Nilotinib,doses8,8,4,CCLE
FADU,Nilotinib,doses1,0.0025,97.5,CCLE
FADU,Nilotinib,doses2,0.008,113,CCLE
FADU,Nilotinib,doses3,0.025,113.7,CCLE
FADU,Nilotinib,doses4,0.08,102.46,CCLE
FADU,Nilotinib,doses5,0.25,106.05,CCLE
FADU,Nilotinib,doses6,0.8,105.76,CCLE
FADU,Nilotinib,doses7,2.53,95.4,CCLE
FADU,Nilotinib,doses8,8,17,CCLE
G-361,Nilotinib,doses1,0.0025,89,CCLE
G-361,Nilotinib,doses2,0.008,111.5,CCLE
G-361,Nilotinib,doses3,0.025,94.4,CCLE
G-361,Nilotinib,doses4,0.08,98,CCLE
G-361,Nilotinib,doses5,0.25,90.7,CCLE
G-361,Nilotinib,doses6,0.8,105.48,CCLE
G-361,Nilotinib,doses7,2.53,92.6,CCLE
G-361,Nilotinib,doses8,8,62,CCLE
G-401,Nilotinib,doses1,0.0025,110.4,CCLE
G-401,Nilotinib,doses2,0.008,106.13,CCLE
G-401,Nilotinib,doses3,0.025,94.4,CCLE
G-401,Nilotinib,doses4,0.08,103.49,CCLE
G-401,Nilotinib,doses5,0.25,105.7,CCLE
G-401,Nilotinib,doses6,0.8,92.4,CCLE
G-401,Nilotinib,doses7,2.53,95.5,CCLE
G-401,Nilotinib,doses8,8,58,CCLE
GB-1,Nilotinib,doses1,0.0025,78,CCLE
GB-1,Nilotinib,doses2,0.008,91.3,CCLE
GB-1,Nilotinib,doses3,0.025,96.1,CCLE
GB-1,Nilotinib,doses4,0.08,97.7,CCLE
GB-1,Nilotinib,doses5,0.25,101.36,CCLE
GB-1,Nilotinib,doses6,0.8,96,CCLE
GB-1,Nilotinib,doses7,2.53,95.5,CCLE
GB-1,Nilotinib,doses8,8,84,CCLE
GCIY,Nilotinib,doses1,0.0025,112.2,CCLE
GCIY,Nilotinib,doses2,0.008,109.42,CCLE
GCIY,Nilotinib,doses3,0.025,117.1,CCLE
GCIY,Nilotinib,doses4,0.08,99.27,CCLE
GCIY,Nilotinib,doses5,0.25,125.5,CCLE
GCIY,Nilotinib,doses6,0.8,86,CCLE
GCIY,Nilotinib,doses7,2.53,102.8,CCLE
GCIY,Nilotinib,doses8,8,20,CCLE
GCT,Nilotinib,doses1,0.0025,105.51,CCLE
GCT,Nilotinib,doses2,0.008,90.3,CCLE
GCT,Nilotinib,doses3,0.025,107.45,CCLE
GCT,Nilotinib,doses4,0.08,99.02,CCLE
GCT,Nilotinib,doses5,0.25,107.05,CCLE
GCT,Nilotinib,doses6,0.8,96.4,CCLE
GCT,Nilotinib,doses7,2.53,96.4,CCLE
GCT,Nilotinib,doses8,8,50,CCLE
GMS-10,Nilotinib,doses1,0.0025,95.7,CCLE
GMS-10,Nilotinib,doses2,0.008,106.62,CCLE
GMS-10,Nilotinib,doses3,0.025,94,CCLE
GMS-10,Nilotinib,doses4,0.08,113,CCLE
GMS-10,Nilotinib,doses5,0.25,94.3,CCLE
GMS-10,Nilotinib,doses6,0.8,102.4,CCLE
GMS-10,Nilotinib,doses7,2.53,99.7,CCLE
GMS-10,Nilotinib,doses8,8,97.5,CCLE
H4,Nilotinib,doses1,0.0025,103.47,CCLE
H4,Nilotinib,doses2,0.008,100.92,CCLE
H4,Nilotinib,doses3,0.025,103.69,CCLE
H4,Nilotinib,doses4,0.08,103.26,CCLE
H4,Nilotinib,doses5,0.25,109.01,CCLE
H4,Nilotinib,doses6,0.8,102.29,CCLE
H4,Nilotinib,doses7,2.53,108.65,CCLE
H4,Nilotinib,doses8,8,43,CCLE
HCC1187,Nilotinib,doses1,0.0025,99.29,CCLE
HCC1187,Nilotinib,doses2,0.008,96,CCLE
HCC1187,Nilotinib,doses3,0.025,99.38,CCLE
HCC1187,Nilotinib,doses4,0.08,123,CCLE
HCC1187,Nilotinib,doses5,0.25,103.59,CCLE
HCC1187,Nilotinib,doses6,0.8,99.73,CCLE
HCC1187,Nilotinib,doses7,2.53,92.4,CCLE
HCC1187,Nilotinib,doses8,8,87,CCLE
HCC1569,Nilotinib,doses1,0.0025,84,CCLE
HCC1569,Nilotinib,doses2,0.008,95.6,CCLE
HCC1569,Nilotinib,doses3,0.025,105.12,CCLE
HCC1569,Nilotinib,doses4,0.08,102.89,CCLE
HCC1569,Nilotinib,doses5,0.25,102.27,CCLE
HCC1569,Nilotinib,doses6,0.8,109.44,CCLE
HCC1569,Nilotinib,doses7,2.53,103.58,CCLE
HCC1569,Nilotinib,doses8,8,82,CCLE
HCC1806,Nilotinib,doses1,0.0025,89,CCLE
HCC1806,Nilotinib,doses2,0.008,93.9,CCLE
