cellLine,drug,ic50_CCLE,auc_CCLE,ic50_GDSC,auc_GDSC
HGC-27,Nilotinib,5.899519444,0.106,83.8455151285711,0.00864299999999996
HH,Nilotinib,8,0,55.2486552093845,0.016278
HLE,Nilotinib,8,0,11.8838578967269,0.049388
HOS,Nilotinib,8,0.035425,4.80281882137235,0.078681
HSC-2,Nilotinib,8,0.030425,135.121314386254,0.00493900000000003
HT,Nilotinib,8,0,238.248202997977,0.00240700000000005
HT-1197,Nilotinib,8,0,260.276102433323,0.00221700000000002
HT-1376,Nilotinib,8,0,80.8770418913723,0.00737100000000002
HT-144,Nilotinib,4.633401871,0.12505,171.287426128458,0.00384600000000002
HT-29,Nilotinib,8,0.0791875,10.6409631347493,0.030104
HuCCT1,Nilotinib,8,0.03675,82.8132439758908,0.010127
HuP-T3,Nilotinib,8,0,257.742751425206,0.002498
HuP-T4,Nilotinib,5.09538269,0,160.636331585987,0.00500400000000001
IGROV-1,Nilotinib,8,0.0672,288.16262761979,0.00224000000000002
IPC-298,Nilotinib,8,0.069675,263.37450692971,0.00210399999999999
IST-MES1,Nilotinib,0.893207331,0.07105,51.4719500466196,0.016435
JVM-3,Nilotinib,2.293517775,0,4.62170183583685,0.087905
KALS-1,Nilotinib,8,0,46.7257310958321,0.01367
KARPAS-299,Nilotinib,8,0,46.205276429632,0.022419
KARPAS-422,Nilotinib,8,0,120.229209491934,0.00588200000000005
KG-1,Nilotinib,8,0,31.7428975150288,0.02313
KLE,Nilotinib,8,0,224.319415905975,0.00366999999999995
KNS-42,Nilotinib,8,0.0041125,202.38119034162,0.00365700000000002
KNS-81-FD,Nilotinib,8,0.01295,138.417571938809,0.00421499999999997
KP-4,Nilotinib,8,0.0012,77.7890752209657,0.0105730000000001
KU812,Nilotinib,0.016822226,0.638175,0.0398398743554252,0.479712
KURAMOCHI,Nilotinib,8,0,235.910147123255,0.00241899999999995
KYSE-410,Nilotinib,5.128837109,0.0735625,75.0672966589968,0.012637
KYSE-520,Nilotinib,6.504006386,0.1064375,9.33482471840958,0.074021
L-363,Nilotinib,8,0.0727,15.9681481906081,0.0402670000000001
L-428,Nilotinib,6.550229549,0.0448125,303.982155296268,0.00209000000000004
LCLC-103H,Nilotinib,8,0.022725,165.350588741661,0.00377000000000005
LP-1,Nilotinib,4.030470371,0.0755,243.010098478075,0.00201300000000004
LS-123,Nilotinib,8,0.016525,97.0024271155367,0.00738000000000005
LS-513,Nilotinib,8,0.104125,162.676407896231,0.00384600000000002
LU-99A,Nilotinib,8,0.0521,114.329999593685,0.00602999999999998
M059J,Nilotinib,8,0.047525,185.902250383797,0.00353000000000003
MC116,Nilotinib,8,0,189.743849111374,0.00355799999999995
MCF7,Nilotinib,8,0,141.14376770176,0.005637
MDA-MB-157,Nilotinib,8,0,117.137212023674,0.00676900000000002
MDA-MB-415,Nilotinib,3.974702597,0.1178875,294.037114744925,0.00216000000000005
MDA-MB-453,Nilotinib,8,0.088125,193.193253230215,0.00366200000000005
MDA-MB-468,Nilotinib,4.322463036,0,65.8701908485496,0.00917199999999996
MEG-01,Nilotinib,0.069269069,0.5699375,0.00152328818658258,0.583174
MEL-HO,Nilotinib,7.266346931,0.0411,90.4310787682959,0.00834199999999996
MES-SA,Nilotinib,8,0.0478375,265.935553672339,0.00220799999999999
Mewo,Nilotinib,8,0,124.673584768225,0.00570400000000004
MFE-280,Nilotinib,8,0,228.191000556395,0.00253300000000001
MG-63,Nilotinib,8,0.0224,63.1754641311037,0.011695
MHH-ES-1,Nilotinib,2.536269426,0.2220125,9.86033358310335,0.058356
MIA-PaCa-2,Nilotinib,8,0.0171,4.97831758689008,0.077098
MKN45,Nilotinib,8,0.0568,101.481955058322,0.00654600000000005
MKN7,Nilotinib,8,0.02105,152.277269413485,0.00387800000000005
MOLT-16,Nilotinib,2.131068909,0.0451375,12.2457140218184,0.04064
MPP-89,Nilotinib,8,0.03015,8.97740621148716,0.0500429999999999
MSTO-211H,Nilotinib,5.937797546,0.0717125,27.6254928388737,0.025976
NCI-H1048,Nilotinib,8,0.019125,150.395877364537,0.00615399999999999
NCI-H1092,Nilotinib,8,0.0247875,43.736718956091,0.0142640000000001
NCI-H1355,Nilotinib,8,0,151.434925799913,0.00349900000000003
NCI-H1563,Nilotinib,8,0,253.716372650537,0.00210100000000002
NCI-H1573,Nilotinib,8,0.0479375,60.1783106987802,0.014339
NCI-H1581,Nilotinib,8,0.0547375,68.5113208845188,0.011083
NCI-H1648,Nilotinib,5.590958595,0.1730875,60.716409545093,0.015742
NCI-H1650,Nilotinib,8,0.0394875,117.359749573424,0.00534199999999996
NCI-H1651,Nilotinib,8,0,87.3580333741139,0.00733700000000004
NCI-H1666,Nilotinib,7.710957527,0.042275,146.650909903972,0.00622
NCI-H1693,Nilotinib,8,0,16.380162516206,0.062905
NCI-H1694,Nilotinib,8,0,121.111305144956,0.00450700000000004
NCI-H1792,Nilotinib,8,0,49.8518197372821,0.015472
NCI-H1793,Nilotinib,8,0,136.853224841643,0.00598299999999996
NCI-H1975,Nilotinib,8,0,149.951363772209,0.00409999999999999
NCI-H2009,Nilotinib,8,0,75.0614416382062,0.011473
NCI-H2030,Nilotinib,8,0,49.711733909741,0.017427
NCI-H2052,Nilotinib,8,0.0145375,158.89283797548,0.00417299999999998
NCI-H2087,Nilotinib,6.089197159,0.0379875,202.792847021936,0.00393600000000005
NCI-H2122,Nilotinib,7.855627537,0.05795,77.8739115403511,0.010104
NCI-H2170,Nilotinib,3.32824254,0.0616125,172.994707232849,0.00354699999999997
NCI-H2228,Nilotinib,8,0,29.4580435958882,0.024884
NCI-H226,Nilotinib,8,0,94.0810834173764,0.010306
NCI-H23,Nilotinib,7.43892622,0.010525,46.6098084153652,0.022783
NCI-H2452,Nilotinib,8,0,198.228816034795,0.00355799999999995
NCI-H28,Nilotinib,8,0.015275,31.9860861362172,0.0287809999999999
NCI-H358,Nilotinib,8,0,71.2452392947058,0.010341
NCI-H441,Nilotinib,8,0.027075,289.888973594287,0.00224299999999999
NCI-H520,Nilotinib,8,0.04055625,257.664151873063,0.00224000000000002
NCI-H650,Nilotinib,8,0,101.123748547577,0.00750600000000001
NCI-H661,Nilotinib,8,0.07,41.2730605413172,0.018945
NCI-H727,Nilotinib,8,0.0361375,110.169380036377,0.00725699999999996
NCI-H747,Nilotinib,8,0.0377375,215.33953176789,0.00355099999999997
NCI-H810,Nilotinib,5.777545452,0.1079,168.048058332761,0.003973
NCI-N87,Nilotinib,3.743279696,0.0883625,11.7731203901826,0.044479
OVCAR-3,Nilotinib,8,0,101.704240667767,0.00720100000000001
NUGC-3,Nilotinib,8,0.11005,8.53582489429674,0.0582589999999999
OC-314,Nilotinib,8,0,393.363452495086,0.00221400000000005
OCI-AML2,Nilotinib,6.798111916,0.12115,209.431140422668,0.00342799999999999
OE33,Nilotinib,8,0,134.134764527885,0.00497800000000004
ONS-76,Nilotinib,8,0,42.8018360486248,0.021289
OPM-2,Nilotinib,8,0,244.564480971455,0.00208699999999995
OVCAR-4,Nilotinib,8,0,33.4848132425538,0.015514
OVCAR-8,Nilotinib,7.570580006,0.00733750000000001,142.815416105567,0.00460799999999995
P12-ICHIKAWA,Nilotinib,8,0.06095,119.569883547069,0.00698399999999999
P31-FUJ,Nilotinib,8,0.001125,144.536200692476,0.00605299999999998
Panc 03.27,Nilotinib,8,0,120.417876768907,0.00630399999999998
Panc 10.05,Nilotinib,8,0,187.964666308784,0.00365300000000002
PC-3,Nilotinib,8,0.0217,40.1307550819944,0.018689
Raji,Nilotinib,8,0.0196375,347.474402353653,0.00206399999999995
REH,Nilotinib,8,0.0706125,22.0202173099666,0.022532
RERF-LC-MS,Nilotinib,8,0.001625,230.079522692016,0.00249900000000003
RKO,Nilotinib,8,0.065875,17.6432980960717,0.036155
RL95-2,Nilotinib,8,0,157.358399014789,0.00396399999999997
RPMI-8402,Nilotinib,8,0.039325,107.627479412817,0.00689099999999998
RT-112,Nilotinib,8,0.00155,54.2429483695233,0.012271
RT4,Nilotinib,8,0,75.3596510638032,0.011622
RVH-421,Nilotinib,8,0,5.77535658025278,0.059761
Saos-2,Nilotinib,5.712678432,0.127825,211.577423487833,0.00351800000000002
SBC-5,Nilotinib,8,0.0796,32.8510924471938,0.017884
SF126,Nilotinib,8,0.0751,64.534050549533,0.010819
SHP-77,Nilotinib,8,0,161.315649257436,0.00394300000000003
SIMA,Nilotinib,8,0,253.662083155973,0.00217299999999998
SJRH30,Nilotinib,8,0.0351375,234.098741833665,0.00217699999999998
SK-HEP-1,Nilotinib,8,0.0196875,111.600775628587,0.00739299999999998
SK-LU-1,Nilotinib,8,0,93.2345163282774,0.00677000000000005
SK-MEL-2,Nilotinib,8,0.0214125,20.295678873201,0.026576
SK-MEL-24,Nilotinib,6.903137207,0.0891875,7.63392400907615,0.062381
SK-MEL-30,Nilotinib,8,0.0597125,211.484561383645,0.00305999999999995
SK-MEL-5,Nilotinib,8,0.0131,16.5900646314089,0.059092
SK-MM-2,Nilotinib,8,0.0280625,243.192424415613,0.00228499999999998
SK-OV-3,Nilotinib,8,0,257.639417301761,0.00219999999999998
SNG-M,Nilotinib,8,0.0263875,52.6533571457909,0.0217850000000001
NCI-SNU-1,Nilotinib,8,0.048225,93.1467307673869,0.00826899999999997
NCI-SNU-16,Nilotinib,0.049494644,0.1262875,101.415506142155,0.00826499999999997
SNU-449,Nilotinib,8,0.05955,244.446140403393,0.00253000000000003
SNU-C2B,Nilotinib,8,0.0808875,251.140614650628,0.00361800000000001
SUP-T1,Nilotinib,8,0.0393875,117.448154745222,0.00731099999999996
SW1088,Nilotinib,1.020972229,0.05135,172.242608929375,0.00370499999999996
SW1990,Nilotinib,7.833574772,0.09125,77.7306775565424,0.00951599999999997
SW48,Nilotinib,8,0.0131375,170.43994398802,0.00396700000000005
SW620,Nilotinib,8,0,153.797530442224,0.00503299999999995
SW780,Nilotinib,8,0.017425,139.514424869776,0.004996
SW900,Nilotinib,8,0,159.446588849918,0.004081
T-24,Nilotinib,8,0,43.4369299593103,0.019216
T47D,Nilotinib,8,0.0208625,199.983927336254,0.00361
T84,Nilotinib,8,0,260.90673335686,0.002077
T98G,Nilotinib,8,0.0774625,3.01313179105582,0.100238
TCCSUP,Nilotinib,8,0.05805,152.823704673812,0.00499000000000005
TE-9,Nilotinib,6.083400249,0.016475,210.808681625321,0.00257200000000002
U-118-MG,Nilotinib,8,0.0137875,59.8807449386942,0.014867
U-2-OS,Nilotinib,7.420892239,0,163.069420046949,0.00366100000000003
U-87-MG,Nilotinib,8,0.0280125,245.038171389815,0.00256000000000001
UM-UC-3,Nilotinib,8,0.05364625,69.589173355268,0.011418
VMRC-RCZ,Nilotinib,8,0,166.185394583361,0.00383199999999995
YKG-1,Nilotinib,7.677743435,0.097775,50.2910435190794,0.013189
ZR-75-30,Nilotinib,8,0.0140125,219.085047679857,0.002525
22RV1,17-AAG,0.329701692,0.37246,3.49168350652645,0.067091
5637,17-AAG,0.07082279,0.482825,0.0574029260772685,0.423947
639-V,17-AAG,0.150094494,0.48775,0.19312821195234,0.292524
697,17-AAG,0.422571242,0.3420875,1.57043711844429,0.064947
769-P,17-AAG,0.1517988,0.409375,0.212799898178341,0.245557
786-0,17-AAG,0.279530227,0.441625,0.153810800509061,0.317451
8305C,17-AAG,0.375401258,0.3749625,0.724984502658045,0.17615
8505C,17-AAG,0.282174945,0.430125,0.91336381019337,0.122872
8-MG-BA,17-AAG,0.234952629,0.44265,0.0947240832632246,0.394177
A172,17-AAG,0.267498583,0.35375,0.227957972080357,0.215221
A204,17-AAG,0.029675882,0.58575,0.0224943075400772,0.416556
A2058,17-AAG,0.042496935,0.58,0.0433849357788236,0.46766
A253,17-AAG,0.339544863,0.451,0.301328574491343,0.234611
A2780,17-AAG,0.031109899,0.597625,0.131053977324681,0.345994
A375,17-AAG,0.169737235,0.4495,0.220754953574776,0.263206
A549,17-AAG,0.06676174,0.665375,0.000933938469859726,0.302735
A673,17-AAG,0.198152512,0.434925,55.5608046320722,0.00578599999999996
ACHN,17-AAG,0.678260922,0.307,0.605688773451657,0.15086
AN3-CA,17-AAG,0.074334152,0.54975,0.0499988636906117,0.417379
AsPC-1,17-AAG,0.072310209,0.53125,0.15224533701811,0.299459
AU565,17-AAG,0.0233486,0.55375,0.23463363062244,0.223031
BCPAP,17-AAG,0.210629389,0.383125,0.188717517193878,0.287539
BFTC-909,17-AAG,0.104652666,0.43875,0.0796859495855499,0.350282
BL-41,17-AAG,0.764389515,0.359,1.93447118553061,0.062905
BT-20,17-AAG,8,0.186,1.11203759087419,0.17425
BT-474,17-AAG,0.044726733,0.6002875,0.0450037706725004,0.254544
BT-549,17-AAG,0.020397235,0.60375,0.117986508004333,0.352345
BxPC-3,17-AAG,0.187336221,0.4359,0.135162570380549,0.354191
C2BBe1,17-AAG,0.777057707,0.287,0.221903428169253,0.280216
C32,17-AAG,0.006673547,0.84,0.00442677478313163,0.47866
C3A,17-AAG,0.027727799,0.65975,0.454373378199641,0.187147
CAL-12T,17-AAG,0.183841035,0.495,0.427803628757803,0.21133
CAL-27,17-AAG,0.166818783,0.52625,0.183867663544994,0.302588
CAL-85-1,17-AAG,0.175339907,0.455,35.2816853256832,0.012557
Calu-3,17-AAG,1.688857436,0.2337875,4.78547840474385,0.049311
Calu-6,17-AAG,0.183477089,0.391375,19.4920170558727,0.019409
CAMA-1,17-AAG,0.141045213,0.46125,0.129244929052451,0.311999
Capan-2,17-AAG,0.046125766,0.558875,0.192558553014726,0.297536
CAS-1,17-AAG,1.019528747,0.314,1.7393561221472,0.08545
CHL-1,17-AAG,0.165819794,0.41575,0.0225053549569983,0.47881
CHP-212,17-AAG,0.029792815,0.648125,0.0403784117282515,0.526847
COLO-205,17-AAG,0.014756449,0.7475,0.0306479347683694,0.477495
COLO-320-HSR,17-AAG,1.569168806,0.3465,187.123158186381,0.00216499999999997
COLO-678,17-AAG,0.040361557,0.50125,0.240442813359498,0.203201
COLO-679,17-AAG,0.062656693,0.495975,0.112106832580358,0.34245
COLO-741,17-AAG,1.479850173,0.29875,28.6596726358849,0.012259
COR-L105,17-AAG,0.887269139,0.242875,79.6460147039457,0.00407800000000003
COR-L23,17-AAG,0.608988762,0.323125,0.467637432590271,0.170558
Daoy,17-AAG,0.477916837,0.414825,0.3172278479634,0.217152
DBTRG-05MG,17-AAG,0.276005715,0.3426125,0.426774290152271,0.213404
DEL,17-AAG,0.035145033,0.6065,0.352823269638268,0.209538
Detroit562,17-AAG,0.238989621,0.3295,0.0423915597101432,0.465508
DK-MG,17-AAG,0.319927543,0.3693875,0.371880393224067,0.22298
DMS-114,17-AAG,0.695213139,0.256425,4.54690599246125,0.056988
DOHH-2,17-AAG,0.409685045,0.37720875,49.6655731539298,0.00661299999999998
DU-145,17-AAG,0.044969238,0.553375,2.79162258926954,0.074749
EB2,17-AAG,1.756111383,0.24425,131.49896751631,0.00203100000000001
EFE-184,17-AAG,0.387381613,0.253575,0.807002913849996,0.183339
EFM-19,17-AAG,0.058103666,0.4450875,0.681274479799254,0.194864
EFO-21,17-AAG,0.288561821,0.344125,3.56940173315908,0.063486
EFO-27,17-AAG,0.366359919,0.40025,0.0999650154204362,0.352279
EM-2,17-AAG,0.130336672,0.517625,1.49132054609988,0.062794
ESS-1,17-AAG,0.11770121,0.425375,0.40735265276369,0.215004
FADU,17-AAG,0.019284135,0.655,0.00383993438410942,0.307082
G-361,17-AAG,0.089309976,0.42375,0.507929815201836,0.225989
G-401,17-AAG,0.085478991,0.5225,0.103530709514653,0.38141
G-402,17-AAG,0.073431857,0.57625,0.0478919426794184,0.450209
GAMG,17-AAG,0.109149978,0.47745,0.03434571545901,0.480651
GB-1,17-AAG,0.768663943,0.3042625,20.353461587446,0.020076
GCIY,17-AAG,0.793316543,0.34375,0.91843329574156,0.125911
GCT,17-AAG,0.330548614,0.3718625,20.4138787415817,0.015184
GI-1,17-AAG,0.198652357,0.43025,0.145584296899625,0.322315
GMS-10,17-AAG,0.245301753,0.372875,0.0669933445231928,0.439619
H4,17-AAG,0.150771588,0.4868125,0.0309049473339351,0.55157
HCC1187,17-AAG,1.531470418,0.1244125,70.7246380878308,0.00626099999999996
HCC1395,17-AAG,8,0.31075,7.68130918938878,0.09698
HCC1569,17-AAG,0.201155081,0.393865,2.24582514152071,0.145477
HCC1806,17-AAG,0.06748455,0.5111,0.149359519024036,0.31475
HCC1954,17-AAG,0.048323501,0.592625,2.34407530991037,0.120769
HCC70,17-AAG,0.065257996,0.4420625,1.25013431807326,0.154087
HCT-116,17-AAG,0.202989653,0.4013375,0.265989618275916,0.244681
HCT-15,17-AAG,0.592416525,0.314725,0.295919742981145,0.259063
HD-MY-Z,17-AAG,0.1518711,0.482,0.108729514409912,0.361674
HEC-1,17-AAG,0.061065979,0.329625,0.0658837140022423,0.286091
HGC-27,17-AAG,0.199818447,0.461875,0.00509865244824483,0.506661
HH,17-AAG,0.316189826,0.2486875,2.02346623750876,0.063954
HLE,17-AAG,0.63138473,0.31675,12.8214557745148,0.020338
HOS,17-AAG,0.136840746,0.42015,0.416815750562308,0.206091
HPAF-II,17-AAG,0.151630998,0.4725,0.212642059219389,0.27874
Hs-578-T,17-AAG,0.062882334,0.52,0.0720798317425589,0.359131
HSC-2,17-AAG,0.499589235,0.4125,0.340528655435879,0.237279
HT,17-AAG,0.200726017,0.439375,27.0802857484741,0.017638
HT-1080,17-AAG,0.113508768,0.51775,0.0843942506467238,0.417548
HT-1197,17-AAG,1.937179565,0.2572875,1.79097649672049,0.107601
HT-1376,17-AAG,0.365140706,0.3758625,0.169364513869212,0.295604
HT-144,17-AAG,0.07971938,0.532875,0.0497190062234579,0.42624
HT-29,17-AAG,0.016734079,0.6825,0.0327885470458296,0.498323
HuCCT1,17-AAG,0.091983378,0.43275,0.322828195418184,0.238209
HuP-T3,17-AAG,0.300195903,0.3438,0.288088659711682,0.242769
HuP-T4,17-AAG,0.010569213,0.6332375,0.210898142294985,0.291344
IA-LM,17-AAG,8,0.107475,23.2492761914911,0.015401
IGROV-1,17-AAG,0.491089851,0.372,0.184432266896071,0.306463
IPC-298,17-AAG,0.08109536,0.4475,0.0755056342261185,0.415012
IST-MES1,17-AAG,0.707256138,0.1629,34.0540851351591,0.00682000000000005
J82,17-AAG,0.286560714,0.359375,0.272650642803142,0.221636
JVM-3,17-AAG,0.076346688,0.557375,0.375918467823716,0.208168
KALS-1,17-AAG,0.089755602,0.441,1.24111354897235,0.130887
KARPAS-299,17-AAG,0.209358394,0.4615,0.713084038111079,0.159654
KARPAS-422,17-AAG,0.204620793,0.3380875,1.40403186329408,0.092925
KG-1,17-AAG,0.047090092,0.277125,128.432567492273,0.00207999999999997
KLE,17-AAG,0.927676288,0.15105,3.73028634945501,0.05135
KNS-42,17-AAG,8,0.25375,1.30295531028644,0.134131
KNS-62,17-AAG,0.576808989,0.4617625,0.320876809672986,0.213428
KNS-81-FD,17-AAG,0.257104039,0.2547,0.183941041380653,0.293847
KP-4,17-AAG,0.056765284,0.5975,0.0475289633038772,0.486655
KU812,17-AAG,0.129609898,0.53025,7.99738009564867,0.042234
KURAMOCHI,17-AAG,0.332910785,0.2387875,1.36839702493563,0.0984699999999999
KYSE-140,17-AAG,0.961978316,0.309883333333333,16.6998042867876,0.018271
KYSE-150,17-AAG,0.080904983,0.4372,0.0523545201813309,0.465712
KYSE-180,17-AAG,0.075374797,0.5875,0.092616774835987,0.405757
KYSE-410,17-AAG,0.269242465,0.39775,0.0372997371229236,0.498525
KYSE-450,17-AAG,0.71019572,0.3528625,8.76894059200443,0.034926
KYSE-510,17-AAG,0.175444975,0.4616,0.0464869802601479,0.494289
KYSE-520,17-AAG,0.079899609,0.53375,0.181995011795131,0.288953
KYSE-70,17-AAG,0.060356256,0.495625,0.332829144583753,0.228517
L-363,17-AAG,0.023713689,0.614925,0.622529663232169,0.138289
L-428,17-AAG,1.254022121,0.296125,121.996212601332,0.00201799999999996
LCLC-103H,17-AAG,3.666449308,0.3025,24.8448627304055,0.011462
LOXIMVI,17-AAG,0.18541798,0.489125,0.0149107775798392,0.626002
LP-1,17-AAG,0.610796988,0.229625,134.773689813076,0.00210100000000002
LS-123,17-AAG,0.349257827,0.260575,1.3909403093794,0.114714
LS-411N,17-AAG,0.081793495,0.5456625,0.465271580405144,0.192388
LS-513,17-AAG,0.029090017,0.585,0.239608724651549,0.258157
LU-99A,17-AAG,0.052298609,0.65375,0.0623719265420127,0.438917
M059J,17-AAG,0.092863642,0.5068375,0.0902737101436404,0.384947
MC116,17-AAG,0.741352916,0.3669125,182.50708606095,0.00216799999999995
MCF7,17-AAG,0.01876104,0.53775,0.0967737983056816,0.324104
MDA-MB-157,17-AAG,8,0.07225,0.232767541358484,0.242843
MDA-MB-175-VII,17-AAG,0.032827336,0.43045,0.0335405206316112,0.386052
MDA-MB-415,17-AAG,0.018407384,0.643125,0.708289762463425,0.186744
MDA-MB-453,17-AAG,0.015530476,0.749,0.671796373501678,0.189854
MDA-MB-468,17-AAG,0.367030263,0.2649375,32.1364210789355,0.012704
MEG-01,17-AAG,1.050176263,0.3179125,8.31233037700552,0.030288
MEL-HO,17-AAG,8,0.289625,0.072551327651896,0.365245
MES-SA,17-AAG,0.037811786,0.618375,0.0165947317242488,0.586172
Mewo,17-AAG,8,0.193875,0.107719678029574,0.310954
MFE-280,17-AAG,0.207526833,0.3897375,1.80741382939982,0.090731
MFE-296,17-AAG,0.328074843,0.404875,0.128450970498167,0.336921
MG-63,17-AAG,0.814632237,0.26825,2.14110703210551,0.080041
MHH-ES-1,17-AAG,0.146468312,0.458825,0.262325547194299,0.24662
MIA-PaCa-2,17-AAG,0.020956876,0.56875,0.00349546103242597,0.435682
MKN45,17-AAG,0.017859768,0.65285,0.082187340277794,0.35954
MKN7,17-AAG,0.996641457,0.301575,10.9764602225331,0.039528
MOLT-16,17-AAG,0.447354048,0.3405875,33.0054599232345,0.01326
MPP-89,17-AAG,0.200979024,0.3636375,0.454352023152713,0.193346
MSTO-211H,17-AAG,0.190373659,0.4795,0.557619750282946,0.189194
NCI-H1048,17-AAG,0.048622094,0.601,0.289558479685773,0.256213
NCI-H1092,17-AAG,8,0.1251625,56.8024807528725,0.00673500000000005
NCI-H1155,17-AAG,0.117387019,0.51425,0.22225186792756,0.261401
NCI-H1299,17-AAG,0.267252147,0.3723875,0.162853867287192,0.311045
NCI-H1355,17-AAG,0.104488812,0.361875,0.2807440159796,0.234982
NCI-H1563,17-AAG,0.215863928,0.3770375,0.948647493358849,0.174549
NCI-H1573,17-AAG,0.128462195,0.44625,0.455691606407897,0.181977
NCI-H1581,17-AAG,0.605425537,0.310825,0.102900991563803,0.362073
NCI-H1648,17-AAG,8,0.25375,0.152318584639857,0.294425
NCI-H1650,17-AAG,0.030661542,0.5635,0.200566583516546,0.258977
NCI-H1651,17-AAG,0.243237942,0.3318125,0.700002060760146,0.161946
NCI-H1666,17-AAG,0.016954798,0.685,0.127742724831674,0.34932
